"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6JBCLHNN","conferencePaper","2018","Hegde, Vinayak; Prageeth, P. P.","Higher education student dropout prediction and analysis through educational data mining","2018 2nd International Conference on Inventive Systems and Control (ICISC)","","","10.1109/ICISC.2018.8398887","","In past years the number of student dropout from the educational institute is increasing rapidly. The high rate of student's dropout in a registered course has been a major threat to many educational institutions or universities. The student enters the institution with lots of dreams and expectations. When their expectations are not fulfilling or certain factors like demographics will effect and makes them drop from their registered program. It is a major threat to all educational institution. The various technique of the dimensionality reduction, which includes feature selection and feature extraction. Feature selection is step by step procedure that is used to select the right attribute from a given attribute sets. For the feature extraction process, it involves the transformation of higher dimensions' data in corresponding lower dimensions. Feature selection consists of factors like Academics, demographical factors, psychological factors, health issues, teacher's opinion, student behavior. In this paper, we introduce a methodology to predict the student dropout using Naive-Bayes Classification Algorithm in R language. And also examine the reason for student drop out at an early state and predict whether the student will drop or not. There are many factors that affect a student to commit dropout as we mentioned above. Early dropout prediction helps the organization to retain the students from the respective academic program.","2018-01","2023-01-03 16:22:20","2023-01-03 16:22:20","","694-699","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\nasta\Zotero\storage\CRVA4MBQ\Hegde and Prageeth - 2018 - Higher education student dropout prediction and an.pdf","","","Classification algorithms; Conferences; Data mining; Data preprocessing; Dimensionality reduction; Dropout; EDM; Feature extraction; Feature selection; Retention; Testing; Training data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 2nd International Conference on Inventive Systems and Control (ICISC)","","","","","","","","","","","","","","",""
"HBJ7VWXF","conferencePaper","2019","Huang, Lei; Wang, Xinghui; Wu, Zhouhua; Wang, Feiyu","Feature selection for clustering online learners","2019 Eighth International Conference on Educational Innovation through Technology (EITT)","","","10.1109/EITT.2019.00009","","As one of the most important approaches for learning analytics and educational data mining, various clustering algorithms have been explored and compared in the analysis of online learners by their behavior. However, choosing which features for clustering has a strong impact on the quality of clustering, and has not received enough attention yet. By using an entropy-based feature selection method, this research broadens the range of candidate initial features and provides efficient algorithms for extracting the most important features. Experiment with real-life data reveals that this method not only overcomes the data sparsity and complexity problems for clustering in high-dimensional feature space but also surpasses dimensionality reduction methods like PCA in interpretability.","2019-10","2023-01-03 16:22:26","2023-01-03 16:22:26","","1-6","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2166-0549","","C:\Users\nasta\Zotero\storage\52UAV6SW\Huang et al. - 2019 - Feature selection for clustering online learners.pdf","","","Classification algorithms; Clustering algorithms; clustering, learning analytics, educational data mining, feature selection, dimensionality reduction; Data mining; Entropy; Feature extraction; Principal component analysis; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 Eighth International Conference on Educational Innovation through Technology (EITT)","","","","","","","","","","","","","","",""
"5W2SSVPE","conferencePaper","2019","Wafi, Muhammad; Faruq, Umar; Supianto, Ahmad Afif","Automatic Feature Selection for Modified K- Nearest Neighbor to Predict Student's Academic Performance","2019 International Conference on Sustainable Information Engineering and Technology (SIET)","","","10.1109/SIET48054.2019.8986074","","Educational Data Mining (EDM) has been widely used in the world of education, one of them is to predict student's academic performance. There are several methods that are often used in EDM, including classification and clustering. One of the most used classification methods is K- Nearest Neighbor (K-NN), which has several modifications to improve its accuracy. To improve accuracy, we can also use the best features that can represent the whole object, therefore feature selection methods is needed to get the best results. In this paper, genetic algorithm is proposed, which have a good heuristic properties method for automatic feature selection while modified K-NN will be used as the classification method. This benefit can be used as feature selection in both K-NN and modified K-NN. The result shown that feature selection using genetic algorithm in modified K-NN is better with 82.6% accuracy than the ordinary one.","2019-09","2023-01-03 16:22:28","2023-01-03 16:22:28","","44-48","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\nasta\Zotero\storage\HW89AJVI\Wafi et al. - 2019 - Automatic Feature Selection for Modified K- Neares.pdf","","","Classification algorithms; Data mining; Feature extraction; Feature selection; Genetic algorithm; Genetic algorithms; Modified K-NN; Prediction algorithms; Sociology; Statistics; Student performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 International Conference on Sustainable Information Engineering and Technology (SIET)","","","","","","","","","","","","","","",""
"27NDYXFH","conferencePaper","2021","Pawar, Poonam S; Jain, Rajashree","A review on Student Performance Prediction using Educational Data mining and Artificial Intelligence","2021 IEEE 2nd International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent (TEMSMET)","","","10.1109/TEMSMET53515.2021.9768773","","Predicting student’s performance helps all stakeholders of education system to plan and take appropriate measures. Increase in the number of higher educational institutes and adoption to online and blended learning has enabled collection of large amounts of data. Data Mining and Artificial Intelligence tools can be successfully used on this data to predict student performance to provide required insights to the stakeholders. This paper focusses a systematic literature review on use of data mining and AI tools for Student’s Performance Prediction. Using Critical review of available literature authors have proposed a combinatorial model for student performance prediction using some techniques like Decision Tree, Random Forest, Genetic Algorithm, Artificial Neural Networks, etc.","2021-12","2023-01-03 16:22:30","2023-01-03 16:22:30","","1-7","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\nasta\Zotero\storage\ZNQMIQKQ\Pawar and Jain - 2021 - A review on Student Performance Prediction using E.pdf","","","Classification; Data mining; Educational Data Mining; Entrepreneurship; Feature selection algorithms; Hybrid learning; Prediction algorithms; Predictive models; Stakeholders; Student Academic Performance; Student attributes; Systematics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE 2nd International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent (TEMSMET)","","","","","","","","","","","","","","",""
"EQAS3ZBX","conferencePaper","2020","Thaher, Thaer; Jayousi, Rashid","Prediction of Student’s Academic Performance using Feedforward Neural Network Augmented with Stochastic Trainers","2020 IEEE 14th International Conference on Application of Information and Communication Technologies (AICT)","","","10.1109/AICT50176.2020.9368820","","The academic performance of students is of great interest to tutors and decision-makers in educational institutions. The extensive use of information technology systems in education generates an enormous amount of data, which is challenging to analyze and extract valuable information. Therefore, Educational Data Mining (EDM) concept emerges to adapt Data Mining (DM) techniques to extract the hidden and valuable educational knowledge that improves the learning process. The primary purpose of this paper is to introduce an efficient student's performance prediction model. For this purpose, a feed-forward Multi-Layer Perceptron approach boosted with stochastic training algorithms is proposed. The proposed model is benchmarked and assessed using three public educational datasets gathered from UCI and Kaggle repositories. Synthetic Minority Oversampling Technique (SMOTE) is utilized to handle the imbalanced data problem. The performance of the proposed model is evaluated by a set of classifiers, namely, Support Vector Machine, Decision Trees, K-Nearest Neighbors, Logistic Regression, Linear Discriminant Analysis, and Random Forest. The comparative study revealed that the MLP achieved promising prediction quality on the majority of datasets compared to other traditional classifiers, as well as those in previous works.","2020-10","2023-01-03 16:22:32","2023-01-03 16:22:32","","1-7","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2472-8586","","C:\Users\nasta\Zotero\storage\VASQM5NV\Thaher and Jayousi - 2020 - Prediction of Student’s Academic Performance using.pdf","","","Adam; Adaptation models; Data mining; Educational data mining; Feed forward Neural Network; gradient decent; Metaheuristics; Multi-Layer perceptron; Random forests; Regression tree analysis; SMOTE; Stochastic processes; Support vector machines; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020 IEEE 14th International Conference on Application of Information and Communication Technologies (AICT)","","","","","","","","","","","","","","",""
"DLV38NHX","conferencePaper","2022","Kumar, Mukesh; Sharma, Chetan; Sharma, Shamneesh; Nidhi, Nidhi; Islam, Nazrul","Analysis of Feature Selection and Data Mining Techniques to Predict Student Academic Performance","2022 International Conference on Decision Aid Sciences and Applications (DASA)","","","10.1109/DASA54658.2022.9765236","","Educational Data Mining is a field of study that aims to find patterns and information in educational institutions through mining educational data. To become a better teacher, teachers need to anticipate their pupils' performance patterns. Knowledge gained from it can be used in various ways, such as a strategic plan for delivering high-quality education. This report suggests that students' final grades can be predicted using data mining techniques based on past research. On two educational datasets related to mathematics classes and Portuguese language lessons, three well-known data mining approaches, such as Decision Tree, JRip, Naive Bayes, Multilayer Perceptron, and Random Forest, were utilized in the experiments. As a result, using the employed data mining methods, student success might be predicted with reasonable accuracy.","2022-03","2023-01-03 16:22:35","2023-01-03 16:22:35","","1013-1017","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\nasta\Zotero\storage\BQHPREM5\Kumar et al. - 2022 - Analysis of Feature Selection and Data Mining Tech.pdf","","","Classification algorithms; Classification Algorithms; Data mining; Decision Tree; Education; Feature extraction; Forestry; JRip; Mathematics; Multilayer Perceptron; Multilayer perceptrons; Naïve Bayes; Random Forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 International Conference on Decision Aid Sciences and Applications (DASA)","","","","","","","","","","","","","","",""
"KC6CHHV3","conferencePaper","2018","Hashemi, Hanieh Zehtab; Parvasideh, Parvane; Larijani, Zahra Hasan; Moradi, Fatemeh","Analyze Students Performance of a National Exam Using Feature Selection Methods","2018 8th International Conference on Computer and Knowledge Engineering (ICCKE)","","","10.1109/ICCKE.2018.8566671","","Recently, educational institutions are generating the mass of data and interesting to analyze these data for their applications. This purpose is achieved by data mining methods to extract knowledge required by the systems. This kind of dataset is usually huge and include many samples and unnecessary features. The nature of dataset implies that the analysis of data leads to inaccurate results without preprocessing. In this study, we want to find and evaluate the most important features by different feature selection methods. These methods give different results based on their nature. Therefore in the following, we evaluate obtained feature subsets with applying some machine learning methods. Here we use one educational dataset of an exam and want to construct a reliable model to predict the final outcome of this exam. We survey different feature selection and machine learning algorithms and find out the Information Gain and Gain Ratio yield better performance.","2018-10","2023-01-03 16:22:37","2023-01-03 16:22:37","","7-11","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2375-1304","","C:\Users\nasta\Zotero\storage\L5PU9LWU\Hashemi et al. - 2018 - Analyze Students Performance of a National Exam Us.pdf","","","Data mining; Educational data mining; Exam; F-measure; Feature extraction; Feature selection; Filtering algorithms; Information filters; Kappa statistic; Machine learning algorithms; Prediction accuracy; Predictive models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 8th International Conference on Computer and Knowledge Engineering (ICCKE)","","","","","","","","","","","","","","",""
"E4JCVWMT","conferencePaper","2021","Nidhi, Nidhi; Kumar, Mukesh; Agarwal, Shweta","Comparative Analysis of Heterogeneous Ensemble Learning using Feature Selection Techniques for Predicting Academic Performance of Students","2021 2nd International Conference on Computational Methods in Science & Technology (ICCMST)","","","10.1109/ICCMST54943.2021.00052","","Data stored in digital form is increasing daily, and so its complexity. Processing a massive volume of data needs efficient technology. Data mining and Machine Learning researchers are focused on finding a suitable algorithm that can find important information after processing that data. In educational data mining, most of the students' records are also stored in digital form. So, the researchers are also trying to find some informative knowledge that can be helpful for the students, teachers, and management to improve their working towards the success of the students and institution also. In predictive modelling, the main challenge is finding the most effective predictive techniques that help achieve an acceptable accuracy level. This article, therefore, proposes a hybrid or heterogeneous approach of Correlation Attribute Evaluation, Ensemble Learning like Stacking, Voting and MultiScheme, in conjunction with seven different Machine Learning algorithms to improve the prediction accuracy up to an acceptable level. Here, k-fold cross-validation was used as a test method to evaluate the predictive performance of the classification algorithms.","2021-12","2023-01-03 16:22:39","2023-01-03 16:22:39","","212-217","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\nasta\Zotero\storage\SKN5ITJK\Nidhi et al. - 2021 - Comparative Analysis of Heterogeneous Ensemble Lea.pdf","","","Classification; Correlation; Correlation coefficient; Feature extraction; Feature Selection; Hybridization; Learning systems; Machine learning; Machine Learning; Machine learning algorithms; Prediction; Predictive models; Stacking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 2nd International Conference on Computational Methods in Science & Technology (ICCMST)","","","","","","","","","","","","","","",""
"KX5PDNUY","conferencePaper","2021","Liu, Xingshen; Niu, Lei","A Student Performance Predication Approach Based on Multi-Agent System and Deep Learning","2021 IEEE International Conference on Engineering, Technology & Education (TALE)","","","10.1109/TALE52509.2021.9678811","","Educational Data Mining (EDM) has been a popular research topic in education, and many current studies use EDM techniques to predict student performance, so that the teachers and students can understand the student's performance in real-time and further develop the learning plan for the students. However, current work is often not sufficiently accurate in predicting student performance. Firstly, the students' features are not adequately processed, resulting in a large amount of noise data in the student dataset, affecting the prediction results. Secondly, there is still space for improvement in the current studies on the student performance prediction model. Therefore, in this paper, the Multi-Agent System (MAS) idea is used to propose an Agent-based Modeling Feature Selection(ABMFS) model, and the selected feature subset effectively removes the features that are irrelevant to the prediction results. Next, the Deep Learning techniques are used to construct a Convolutional Neural Network (CNN) based structure to predict student performance. The result of the experiments shows that the ABMFS Model selects the targeted features and improved performance noticeably across different classifiers, and better prediction results are achieved when the proposed approach was used for student performance prediction.","2021-12","2023-01-03 16:22:41","2023-01-03 16:22:41","","681-688","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2470-6698","","C:\Users\nasta\Zotero\storage\BHIWH7RY\Liu and Niu - 2021 - A Student Performance Predication Approach Based o.pdf","","","Agent-based modeling; Agent-Based Modeling; CNN; Deep learning; Mathematical models; Measurement; Multi-Agent system; Predictive models; Real-time systems; Student Performance Prediction; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 IEEE International Conference on Engineering, Technology & Education (TALE)","","","","","","","","","","","","","","",""
"7B94YW8R","conferencePaper","2018","Kasem, Asem; Shahrin, Siti Nur Asyiqin Mohd; Wan, Au Thien","Learning Analytics in Universiti Teknologi Brunei: Predicting Graduates Performance","2018 Fourth International Conference on Advances in Computing, Communication & Automation (ICACCA)","","","10.1109/ICACCAF.2018.8776690","","Research in Educational Data Mining has enabled many applications that positively impacted teaching, learning, and their management process. This study uses data mining techniques to study the performance of full-time undergraduate students in School of Computing and Informatics, in Universiti Teknologi Brunei (UTB). Two aspects of students' performance have been focused on. First, predicting undergraduates' performance at an early stage of their study program. Second, identifying modules that can serve as strong indicators of performance at the end of the degree program. We have collected data on students' academic performance throughout the four years of their study, starting from 2009, as well as related demographic and background information. We present the approach we have taken to answer two research questions identified for this study. Several classification techniques and sampling methods, to overcome data imbalance challenges, have been experimented with. Despite the small data size available, we achieved reasonable accuracy in predicting the three graduation classifications adopted in UTB (average true positive rate of 0.754). This was using Naïve Bayes method with Feature Selection technique based on Gain Ratio attribute evaluator. In overall, modules in semesters 2 to 4 are more prominent than modules of first semester in serving as strong predictors. We also draw some conclusions from insights we observed from the best Decision Tree model.","2018-10","2023-01-03 16:22:44","2023-01-03 16:22:44","","1-5","","","","","","Learning Analytics in Universiti Teknologi Brunei","","","","","","","","","","","","IEEE Xplore","","ISSN: 2642-7354","","C:\Users\nasta\Zotero\storage\RSPN38JL\Kasem et al. - 2018 - Learning Analytics in Universiti Teknologi Brunei.pdf","","","Classification algorithms; Data mining; Decision trees; educational data mining; imbalanced data; Informatics; learning analytics; Measurement; Predictive models; students’ performance prediction; Task analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 Fourth International Conference on Advances in Computing, Communication & Automation (ICACCA)","","","","","","","","","","","","","","",""
