"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G6RNKK3J","journalArticle","2019","Adekitan, Aderibigbe Israel; Salau, Odunayo","The impact of engineering students' performance in the first three years on their graduation result using educational data mining","Heliyon","","2405-8440","10.1016/j.heliyon.2019.e01250","https://www.sciencedirect.com/science/article/pii/S240584401836924X","Research studies on educational data mining are on the increase due to the benefits obtained from the knowledge acquired from machine learning processes which help to improve decision making processes in higher institutions of learning. In this study, predictive analysis was carried out to determine the extent to which the fifth year and final Cumulative Grade Point Average (CGPA) of engineering students in a Nigerian University can be determined using the program of study, the year of entry and the Grade Point Average (GPA) for the first three years of study as inputs into a Konstanz Information Miner (KNIME) based data mining model. Six data mining algorithms were considered, and a maximum accuracy of 89.15% was achieved. The result was verified using both linear and pure quadratic regression models, and R2 values of 0.955 and 0.957 were recorded for both cases. This creates an opportunity for identifying students that may graduate with poor results or may not graduate at all, so that early intervention may be deployed.","2019-02-01","2023-01-03 15:31:21","2023-01-03 15:31:26","2023-01-03 15:31:21","e01250","","2","5","","Heliyon","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\VZJ4KMDV\Adekitan and Salau - 2019 - The impact of engineering students' performance in.pdf","","","Computer science; Education; Information science","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUEBVLD8","journalArticle","2022","Al-Zawqari, Ali; Peumans, Dries; Vandersteen, Gerd","A flexible feature selection approach for predicting students’ academic performance in online courses","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100103","https://www.sciencedirect.com/science/article/pii/S2666920X22000583","Educators' loss of ability to read students' comprehension level during the class through quick questions or nonverbal communication is one of the main challenges of online and blended learning. Many researchers recently tackled this problem by proposing different frameworks for predicting students' academic performance. However, previous work relies heavily on feature engineering. Feature engineering is the process of selecting, transforming, manipulating, and constructing new variables from raw data using domain knowledge. A disadvantage of feature engineering is that the features are tailored to a specific dataset making the constructed models inflexible when used in new datasets. A direct consequence is that features need to be rebuilt for each course. This paper proposes a more flexible framework to predict the students' academic performance. In this framework, the raw data is used directly to construct the prediction model without the feature engineering step. The feature selection is instead based on model interpretability. The framework is applied to the open university learning analytics dataset (OULAD) with two different type of classifiers: random forest and artificial neural networks. Obtained results show that the feature engineering step can be abandoned without affecting the models' prediction performance. The prediction results of the flexible feature selection framework either outperform or have a difference of less than 1% accuracy compared to other work in the literature that relies on a manual feature engineering step. Both random forest and artificial neural networks without feature engineering accomplish a high prediction accuracy for the case of students at risk of failing with 86% and 88% compared to all students with pass grades and students with distinction grades, respectively. Also, the prediction models have the highest accuracy rate of 93% in predicting drop-out students. Yet, the prediction models in the proposed framework and previous research work perform poorly in predicting high achieving students with maximum accuracy of 81%, a precision of 69%, and a recall of 57%.","2022-01-01","2023-01-03 15:33:39","2023-01-03 15:33:39","2023-01-03 15:33:39","100103","","","3","","Computers and Education: Artificial Intelligence","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\E46A96UX\Al-Zawqari et al. - 2022 - A flexible feature selection approach for predicti.pdf","","","Deep learning; Feature selection; Learning analytics; Random forest classifier; Virtual learning environment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TC9GMR4","webpage","","","Aspect2Labels: A novelistic decision support system for higher educational institutions by using multi-layer topic modelling approach - ScienceDirect","","","","","https://www-sciencedirect-com.am.e-nformation.ro/science/article/pii/S0957417422013045","","","2023-01-03 15:35:45","2023-01-03 15:35:45","2023-01-03 15:35:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2XPAMR9","journalArticle","2022","Nilashi, Mehrbakhsh; Minaei-Bidgoli, Behrouz; Alghamdi, Abdullah; Alrizq, Mesfer; Alghamdi, Omar; Khan Nayer, Fatima; Aljehane, Nojood O; Khosravi, Arash; Mohd, Saidatulakmal","Knowledge discovery for course choice decision in Massive Open Online Courses using machine learning approaches","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2022.117092","https://www.sciencedirect.com/science/article/pii/S0957417422004985","Massive Open Online Courses (MOOCs) provide learners with high-quality and flexible online courses with no limitations regarding time and location. Detecting users’ behavior in MOOCs is an important task for course recommendations. Collaborative Filtering (CF) is considered the widely approach in recommender systems to provide a online learner courses according to similar learners’ preferences in an e-learning environment. The current research provides a novel framework through machine learning techniques to propose course recommendations in MOOCs according to the uses’ preferences and behavior. The method is developed using multi-criteria ratings extracted from users’ online reviews. We use Latent Dirichlet Allocation (LDA) for text mining, Decision Trees for decision rule generation, Self-Organizing Map (SOM) for users’ reviews on courses and the fuzzy rule-based system for users’ preferences prediction. We also adopt a feature selection method to select the most important criteria for users’ preferences prediction. The method is evaluated using the data collected from an online learning platform, Udemy. The results showed that the method is able to accurately provide relevant courses to the users tailored to their preferences. The method has the potential to be implemented as a recommendation agent in the MOOC websites for course recommendations.","2022-08-01","2023-01-03 15:36:11","2023-01-03 15:36:11","2023-01-03 15:36:11","117092","","","199","","Expert Systems with Applications","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\YNC48E63\Nilashi et al. - 2022 - Knowledge discovery for course choice decision in .pdf","","","Course choice decision; Educational data mining; Knowledge discovery; Multi-criteria collaborative filtering; Text mining; User’ preferences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ECU3VXJ4","journalArticle","2021","Malini, J.; Kalpana, Y.","Investigation of factors affecting student performance evaluation using education materials data mining technique","Materials Today: Proceedings","","2214-7853","10.1016/j.matpr.2021.05.026","https://www.sciencedirect.com/science/article/pii/S2214785321036026","Every year students success rate was analysed by the Educational Institutions to develop their Academic standard. To identify the success rate many kinds of techniques are used such as statistics, physical examination and currently ongoing data mining techniques. Data mining Techniques was widely used in many fields, it is also used in the Educational environment known as Educational Data Mining (EDM). Educational data mining generate prototype in solving the research problems in students data and used to locate the unseen patterns in the students detailed dateset. This paper uses the EDM to characterize the distinct factors affecting the students performance by making predictions with efficient algorithms. Educational professionals have to identify the causes for the student failure in academic performance and the students not succeed in completing their education which becomes a social problem these days. The machine learning techniques help the researchers to analyse the student’s learning habits and their performance in academic. This paper would discuss different kinds of algorithms to analyse the economic background of the students which mainly affects the students performance. The dataset was utilized from the UCI Repository of secondary school students performance and analysed using the Weka tool for the data mining process.","2021-01-01","2023-01-03 15:36:25","2023-01-03 15:36:25","2023-01-03 15:36:25","6105-6110","","","47","","Materials Today: Proceedings","","SI: TIME-2021","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\TVAHTL9I\Malini and Kalpana - 2021 - Investigation of factors affecting student perform.pdf","","","Analysis; Attributes; Dataset; Educational datamining; Features; Machine learning; Materials and methods; Students performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCQVDX2R","journalArticle","2019","Yahya, Anwar Ali","Swarm intelligence-based approach for educational data classification","Journal of King Saud University - Computer and Information Sciences","","1319-1578","10.1016/j.jksuci.2017.08.002","https://www.sciencedirect.com/science/article/pii/S1319157817301799","This paper explores the effectiveness of Particle Swarm Classification (PSC) for a classification task in the field of educational data mining. More specifically, it proposes PSC to design a classification model capable of classifying questions into the six cognitive levels of Bloom's taxonomy. To this end, this paper proposes a novel specialized initialization mechanism based on Rocchio Algorithm (RA) to mitigate the adverse effects of the curse of dimensionality on the PSC performance. Furthermore, in the design of the RA-based PSC model of questions classification, several feature selection approaches are investigated. In doing so, a dataset of teachers' classroom questions was collected, annotated manually with Bloom's cognitive levels, and transformed into a vector space representation. Using this dataset, several experiments are conducted, and the results show a poor performance of the standard PSC due to the curse of dimensionality. However, when the proposed RA-based initialization mechanism is used, a significant improvement in the average performance, from 0.243 to 0.663, is obtained. In addition, the results indicate that the feature selection approaches play a role in the performance of the RA-based PSC (average performance ranges from 0.535 to 0.708). Finally, a comparison between the performance of RA-based PSC (average performance=0.663) and seven machine learning approaches (best average performance=0.646) confirms the effectiveness of the proposed RA-based PSC approach.","2019-01-01","2023-01-03 15:36:45","2023-01-03 15:36:45","2023-01-03 15:36:45","35-51","","1","31","","Journal of King Saud University - Computer and Information Sciences","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\2E2TQ4KS\Yahya - 2019 - Swarm intelligence-based approach for educational .pdf","","","Bloom's taxonomy; Educational data mining; Particle swarm classification; Questions classification; Rocchio Algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WI3ADCIY","journalArticle","2021","Hernández-Leal, Emilcy; Duque-Méndez, Néstor Darío; Cechinel, Cristian","Unveiling educational patterns at a regional level in Colombia: data from elementary and public high school institutions","Heliyon","","2405-8440","10.1016/j.heliyon.2021.e08017","https://www.sciencedirect.com/science/article/pii/S2405844021021204","Even though the field of Learning Analytics (LA) has experienced an expressive growth in the last few years. The vast majority of the works found in literature are usually focusing on experimentation of techniques and methods over datasets restricted to a given discipline, course, or institution and are still few works manipulating region and countrywide datasets. This may be since the implementation of LA in national or regional scope and using data from governments and institutions poses many challenges that may threaten the success of such initiatives, including the same availability of data. The present article describes the experience of LA in Latin America using governmental data from Elementary and Middle Schools of the State of Norte de Santander - Colombia. This study is focusing on students' performance. Data from 2013 to 2018 was collected, containing information related to 1) students’ enrollment in school disciplines provided by Regional Education Secretary, 2) students qualifications provided by educational institutions, and 3) students qualifications provided by the national agency for education evaluation. The methodology followed includes a process of cleaning and integration of the data, subsequently a descriptive and visualization analysis is made and some educational data mining techniques are used (decision trees and clustering) for the modeling and extraction of some educational patterns. A total of eight patterns of interest are extracted. In addition to the decision trees, a feature ranking analysis was performed using xgboost and to facilitate the visual representation of the clusters, t-SNE and self-organized maps (SOM) were applied as result projection techniques. Finally, this paper compares the main challenges mentioned by the literature according to the Colombian experience and proposes an up-to-date list of challenges and solutions that can be used as a baseline for future works in this area and aligned with the Latin American context and reality.","2021-09-01","2023-01-03 15:37:04","2023-01-03 15:37:04","2023-01-03 15:37:04","e08017","","9","7","","Heliyon","Unveiling educational patterns at a regional level in Colombia","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\KEI2FZG7\Hernández-Leal et al. - 2021 - Unveiling educational patterns at a regional level.pdf","","","Educational data; Educational data mining; Learning Analytics; Primary education; Secondary education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Q2CG4LU","journalArticle","2021","Renuga Devi, R.; Suresh, B.","An empirical study to examine the student activity analysis components of technology using an extended multi-labeled gradient boosting methodology","Materials Today: Proceedings","","2214-7853","10.1016/j.matpr.2021.04.080","https://www.sciencedirect.com/science/article/pii/S2214785321029369","The data surveying this study mines methods for extracting informative and interesting knowledge from learning student datasets. The amount of data stored in education big databases is growing at an alarming rate. As such, data processing and knowledge discovery techniques can be used to discover interesting relationships between different characteristics and assessments of students. Initially to propose a novel self-analysis model which performs analysis about the different big data learning services. From the result provided by the user, the service will be ranked and analyze about the knowledge from daily activity gathered by the learner. The proposed model performs analysis to provide efficient Educational Data Mining (EDM) E-Learning system based on machine learning to ranking the users and performance evaluation in their activities. The existing method does not consider the learner activities, ranking and it focus on single feature based classification so the system doesn’t provide a better classification result. These issues to overcome introduce an Extended Multi-Labeled Gradient Boosting (XMGB) improve the classification performance both of imbalanced dataset. The method initial stage apply the Adaptive Expectation-Maximization Mixture (AEMM) method cluster the data various group and extract the E-learning multiple feature set. In this method to compute the classification time and memory provide an efficient result. Then introduce an academic activity based weight score analysis model to evaluate the learner daily activates and exam score its help to the ranking and cluster the data groups. In this proposed method analysis result to evaluate the following performance matrix: Recall, precision, F measure, classification accuracy. In this simulation analysis of the proposed method XMGB are provide an efficient classification with less time complexity compared to other existing methods.","2021-05-11","2023-01-03 15:37:21","2023-01-03 15:37:21","2023-01-03 15:37:21","","","","","","Materials Today: Proceedings","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\IGVAME9P\Renuga Devi and Suresh - 2021 - An empirical study to examine the student activity.pdf","","","Adaptive expectation-maximization mixture; Classification; Self analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LM637NGS","journalArticle","2022","Birla, Nayna; Kumar Jain, Manoj; Panwar, Avinash","Automated assessment of subjective assignments: A hybrid approach","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2022.117315","https://www.sciencedirect.com/science/article/pii/S0957417422006777","Machine learning (ML) has recently gained popularity in a variety of domains for automating tasks. This has also been used in the evaluation of student responses/ assignments. This paper presents a qualitatively enhanced methodology for automated score prediction of subjective assignments. To consider all the major aspects of a human grader, 21 linguistic features related to syntactical, grammatical, sentimental, and readability are analyzed from the assignments. This study makes use of the ASAP competition dataset from Kaggle. The evaluation metric used is Quadratic Weighted Kappa (QWK), which measures the agreement between the human graded score and the predicted score. The effect of appropriate feature selection has been observed using Mutual Information Regression. Four ML algorithms are investigated on identified linguistic features. 3 Layer Neural Network with feature selection performed well among all chosen ML algorithms with average QWK of 0.678. To include the benefits of deep learning, a new hybrid model (LF-BiLSTM-att-FS) is proposed that combines a higher level deep neural network (DNN) with the selected features. Pre-trained Glove embedding is used to include contextual information of the text. The proposed model results demonstrated an improvement in overall accuracy, with an average QWK value of 0.768.","2022-10-01","2023-01-03 15:37:52","2023-01-03 15:37:52","2023-01-03 15:37:52","117315","","","203","","Expert Systems with Applications","Automated assessment of subjective assignments","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\Q8PCPC2F\Birla et al. - 2022 - Automated assessment of subjective assignments A .pdf","","","Deep learning; Feature extraction; Feature selection; Machine learning; Text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBT9RUXA","journalArticle","2022","Rujuan, Wang; Lei, Wang","Research on E-learning Behavior Evaluation of Students Based on Three-way Decisions Classification Algorithm","Procedia Computer Science","","1877-0509","10.1016/j.procs.2022.10.052","https://www.sciencedirect.com/science/article/pii/S1877050922014934","With the popularization and application of E-learning platform, it is feasible to collect learning behavior data of students, which provides data basis for analyzing the knowledge and rules contained in learning process of students. At present, the common e-learning platform only realizes the simple statistics and display function for the data, and does not do further in-depth calculation. The data observed by educators are still superficial learning phenomena, and they cannot see the learning rules behind the appearance. It is difficult to effectively guide students, change their learning routes and feedback teaching strategies. In view of this, the main characteristics of learning behavior deeply mined from learning activities and learning evaluation, and the important data feature items affect E-learning effect obtained. Three decision classification algorithms applied to establish prediction and evaluation model for students with learning behavior risk. The overall accuracy of model test is in line with the expectation. This provides a practical application modeling method for further implementation of personalized learning service.","2022-01-01","2023-01-03 15:38:14","2023-01-03 15:38:14","2023-01-03 15:38:14","367-373","","","208","","Procedia Computer Science","","7th International Conference on Intelligent, Interactive Systems and Applications","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\Q3U7HAHS\Rujuan and Lei - 2022 - Research on E-learning Behavior Evaluation of Stud.pdf","","","Big data; educational data mining; learning behavior; three-way decisions classification algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
