"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UUEBVLD8","journalArticle","2022","Al-Zawqari, Ali; Peumans, Dries; Vandersteen, Gerd","A flexible feature selection approach for predicting students’ academic performance in online courses","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100103","https://www.sciencedirect.com/science/article/pii/S2666920X22000583","Educators' loss of ability to read students' comprehension level during the class through quick questions or nonverbal communication is one of the main challenges of online and blended learning. Many researchers recently tackled this problem by proposing different frameworks for predicting students' academic performance. However, previous work relies heavily on feature engineering. Feature engineering is the process of selecting, transforming, manipulating, and constructing new variables from raw data using domain knowledge. A disadvantage of feature engineering is that the features are tailored to a specific dataset making the constructed models inflexible when used in new datasets. A direct consequence is that features need to be rebuilt for each course. This paper proposes a more flexible framework to predict the students' academic performance. In this framework, the raw data is used directly to construct the prediction model without the feature engineering step. The feature selection is instead based on model interpretability. The framework is applied to the open university learning analytics dataset (OULAD) with two different type of classifiers: random forest and artificial neural networks. Obtained results show that the feature engineering step can be abandoned without affecting the models' prediction performance. The prediction results of the flexible feature selection framework either outperform or have a difference of less than 1% accuracy compared to other work in the literature that relies on a manual feature engineering step. Both random forest and artificial neural networks without feature engineering accomplish a high prediction accuracy for the case of students at risk of failing with 86% and 88% compared to all students with pass grades and students with distinction grades, respectively. Also, the prediction models have the highest accuracy rate of 93% in predicting drop-out students. Yet, the prediction models in the proposed framework and previous research work perform poorly in predicting high achieving students with maximum accuracy of 81%, a precision of 69%, and a recall of 57%.","2022-01-01","2023-01-03 15:33:39","2023-01-03 15:33:39","2023-01-03 15:33:39","100103","","","3","","Computers and Education: Artificial Intelligence","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\E46A96UX\Al-Zawqari et al. - 2022 - A flexible feature selection approach for predicti.pdf","","","Deep learning; Feature selection; Learning analytics; Random forest classifier; Virtual learning environment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TC9GMR4","webpage","","","Aspect2Labels: A novelistic decision support system for higher educational institutions by using multi-layer topic modelling approach - ScienceDirect","","","","","https://www-sciencedirect-com.am.e-nformation.ro/science/article/pii/S0957417422013045","","","2023-01-03 15:35:45","2023-01-03 15:35:45","2023-01-03 15:35:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q2XPAMR9","journalArticle","2022","Nilashi, Mehrbakhsh; Minaei-Bidgoli, Behrouz; Alghamdi, Abdullah; Alrizq, Mesfer; Alghamdi, Omar; Khan Nayer, Fatima; Aljehane, Nojood O; Khosravi, Arash; Mohd, Saidatulakmal","Knowledge discovery for course choice decision in Massive Open Online Courses using machine learning approaches","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2022.117092","https://www.sciencedirect.com/science/article/pii/S0957417422004985","Massive Open Online Courses (MOOCs) provide learners with high-quality and flexible online courses with no limitations regarding time and location. Detecting users’ behavior in MOOCs is an important task for course recommendations. Collaborative Filtering (CF) is considered the widely approach in recommender systems to provide a online learner courses according to similar learners’ preferences in an e-learning environment. The current research provides a novel framework through machine learning techniques to propose course recommendations in MOOCs according to the uses’ preferences and behavior. The method is developed using multi-criteria ratings extracted from users’ online reviews. We use Latent Dirichlet Allocation (LDA) for text mining, Decision Trees for decision rule generation, Self-Organizing Map (SOM) for users’ reviews on courses and the fuzzy rule-based system for users’ preferences prediction. We also adopt a feature selection method to select the most important criteria for users’ preferences prediction. The method is evaluated using the data collected from an online learning platform, Udemy. The results showed that the method is able to accurately provide relevant courses to the users tailored to their preferences. The method has the potential to be implemented as a recommendation agent in the MOOC websites for course recommendations.","2022-08-01","2023-01-03 15:36:11","2023-01-03 15:36:11","2023-01-03 15:36:11","117092","","","199","","Expert Systems with Applications","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\YNC48E63\Nilashi et al. - 2022 - Knowledge discovery for course choice decision in .pdf","","","Course choice decision; Educational data mining; Knowledge discovery; Multi-criteria collaborative filtering; Text mining; User’ preferences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LM637NGS","journalArticle","2022","Birla, Nayna; Kumar Jain, Manoj; Panwar, Avinash","Automated assessment of subjective assignments: A hybrid approach","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2022.117315","https://www.sciencedirect.com/science/article/pii/S0957417422006777","Machine learning (ML) has recently gained popularity in a variety of domains for automating tasks. This has also been used in the evaluation of student responses/ assignments. This paper presents a qualitatively enhanced methodology for automated score prediction of subjective assignments. To consider all the major aspects of a human grader, 21 linguistic features related to syntactical, grammatical, sentimental, and readability are analyzed from the assignments. This study makes use of the ASAP competition dataset from Kaggle. The evaluation metric used is Quadratic Weighted Kappa (QWK), which measures the agreement between the human graded score and the predicted score. The effect of appropriate feature selection has been observed using Mutual Information Regression. Four ML algorithms are investigated on identified linguistic features. 3 Layer Neural Network with feature selection performed well among all chosen ML algorithms with average QWK of 0.678. To include the benefits of deep learning, a new hybrid model (LF-BiLSTM-att-FS) is proposed that combines a higher level deep neural network (DNN) with the selected features. Pre-trained Glove embedding is used to include contextual information of the text. The proposed model results demonstrated an improvement in overall accuracy, with an average QWK value of 0.768.","2022-10-01","2023-01-03 15:37:52","2023-01-03 15:37:52","2023-01-03 15:37:52","117315","","","203","","Expert Systems with Applications","Automated assessment of subjective assignments","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\Q8PCPC2F\Birla et al. - 2022 - Automated assessment of subjective assignments A .pdf","","","Deep learning; Feature extraction; Feature selection; Machine learning; Text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NBT9RUXA","journalArticle","2022","Rujuan, Wang; Lei, Wang","Research on E-learning Behavior Evaluation of Students Based on Three-way Decisions Classification Algorithm","Procedia Computer Science","","1877-0509","10.1016/j.procs.2022.10.052","https://www.sciencedirect.com/science/article/pii/S1877050922014934","With the popularization and application of E-learning platform, it is feasible to collect learning behavior data of students, which provides data basis for analyzing the knowledge and rules contained in learning process of students. At present, the common e-learning platform only realizes the simple statistics and display function for the data, and does not do further in-depth calculation. The data observed by educators are still superficial learning phenomena, and they cannot see the learning rules behind the appearance. It is difficult to effectively guide students, change their learning routes and feedback teaching strategies. In view of this, the main characteristics of learning behavior deeply mined from learning activities and learning evaluation, and the important data feature items affect E-learning effect obtained. Three decision classification algorithms applied to establish prediction and evaluation model for students with learning behavior risk. The overall accuracy of model test is in line with the expectation. This provides a practical application modeling method for further implementation of personalized learning service.","2022-01-01","2023-01-03 15:38:14","2023-01-03 15:38:14","2023-01-03 15:38:14","367-373","","","208","","Procedia Computer Science","","7th International Conference on Intelligent, Interactive Systems and Applications","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\Q3U7HAHS\Rujuan and Lei - 2022 - Research on E-learning Behavior Evaluation of Stud.pdf","","","Big data; educational data mining; learning behavior; three-way decisions classification algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZI6S36H4","webpage","","","Data-driven detection and characterization of communities of accounts collaborating in MOOCs - ScienceDirect","","","","","https://www-sciencedirect-com.am.e-nformation.ro/science/article/pii/S0167739X21002570","","","2023-01-03 15:39:48","2023-01-03 15:39:48","2023-01-03 15:39:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFAD6SE5","journalArticle","2022","Niyogisubizo, Jovial; Liao, Lyuchao; Nziyumva, Eric; Murwanashyaka, Evariste; Nshimyumukiza, Pierre Claver","Predicting student's dropout in university classes using two-layer ensemble machine learning approach: A novel stacked generalization","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100066","https://www.sciencedirect.com/science/article/pii/S2666920X22000212","Student dropout is a serious problem globally. It affects not only the individual who drops out but also the former school, family, and society in general. With the current development of science and technology, big data is emphasized as the most significant technology in data analysis. From the recorded educational data, efficient prediction of students' dropout is currently a hot topic of research. Previous studies have focused only on the students' dropout based on specific levels such as individual, middle school, and university level. However, ensemble learning approaches have not received much research attention so far to predict students' dropout in university classes based on rare datasets. In this paper, we propose a novel stacking ensemble based on a hybrid of Random Forest (RF), Extreme Gradient Boosting (XGBoost), Gradient Boosting (GB), and Feed-forward Neural Networks (FNN) to predict student's dropout in university classes. On the dataset collected from 2016 to 2020 at Constantine the Philosopher University in Nitra, the proposed method has demonstrated greater performance when compared with the base models using testing accuracy and the area under the curve (AUC) evaluation metrics under the same conditions. Based on the findings of this study, students at the risk of dropping out the school can be identified based on influential factors and different agents of education can refer to this information for early intervention in the uncontrolled behavior that can lead to the risk of dropping out and take proactive precautionary measures before the issue arise.","2022-01-01","2023-01-03 15:40:45","2023-01-03 15:40:45","2023-01-03 15:40:45","100066","","","3","","Computers and Education: Artificial Intelligence","Predicting student's dropout in university classes using two-layer ensemble machine learning approach","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\YR5NPMG2\Niyogisubizo et al. - 2022 - Predicting student's dropout in university classes.pdf","","","Agents of education; Artificial intelligence; Educational data mining; Learning analytics; Student dropout prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NU5W8RRZ","journalArticle","2022","Rodrigues, Lorran Santos; dos Santos, Marcos; Costa, Igor; Moreira, Miguel Angêlo Lellis","Student Performance Prediction on Primary and Secondary Schools-A Systematic Literature Review","Procedia Computer Science","","1877-0509","10.1016/j.procs.2022.11.229","https://www.sciencedirect.com/science/article/pii/S1877050922019391","Student performance prediction is a relevant topic to schools and universities. By this means, they can act preventively and, also, allocate resources more accurately when at-risk students are identified. This research field has received interest in recent years. However, little has been mapped about the state-of-the-art in students performance prediction in middle and high schools. This work aims to fill the identified gap by conducting a systematic literature review. It was recognized that the interest in the topic, in the context of middle and high schools, has accompanied the tendency of research on student performance prediction in universities. However, the exploration of semi-structured data with deep neural networks, which is a recurrent theme in the universities context, is still incipient. Also, it was pointed out problematic aspects concerning some research in the field, along with the reported models and the main features used to predict student performance. Ultimately it was discussed future paths for research in the area.","2022-01-01","2023-01-03 15:41:51","2023-01-03 15:41:51","2023-01-03 15:41:51","680-687","","","214","","Procedia Computer Science","","9th International Conference on Information Technology and Quantitative Management","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\P5Q9LG5Z\Rodrigues et al. - 2022 - Student Performance Prediction on Primary and Seco.pdf","","","machine learning; SLR; student performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5E687Z2","journalArticle","2022","Pallathadka, Harikumar; Sonia, Bankuru; Sanchez, Domenic T.; De Vera, John V.; Godinez, Julie Anne T.; Pepito, Marcial T.","Investigating the impact of artificial intelligence in education sector by predicting student performance","Materials Today: Proceedings","","2214-7853","10.1016/j.matpr.2021.11.395","https://www.sciencedirect.com/science/article/pii/S2214785321074162","Machine learning is an integral part of artificial intelligence. Machine learning is capable of classifying the existing data and can predict and forecast results. The evaluation of student performance in educational institutions reveals the degree of effort that educational institutions should do in order to improve the poor or average learner. The importance of using EDM models is that they leverage prior data from students to forecast unanticipated or impending student performance. Though the educational sector employs a variety of techniques to extract meaningful information about the characteristics of students who participate in the learning process, a student performance assessment model is required to assist students and faculty in moving their performance to the next level. This paper describes a machine learning based framework for forecasting student performance. Model makes use of three machine learning algorithms namely- Support vector Machine, Random Forest and Regression Analysis. The experimental findings have demonstrated that the performance of SVM is concerned with the student's performance.","2022-01-01","2023-01-03 15:42:07","2023-01-03 15:42:07","2023-01-03 15:42:07","2264-2267","","","51","","Materials Today: Proceedings","","International Conference on Advances in Materials Science","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\P5G64P25\Pallathadka et al. - 2022 - Investigating the impact of artificial intelligenc.pdf","","","Artificial intelligence; Classification; Education data mining; Machine learning; Prediction; Student performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7J37DK2","bookSection","2023","Forsyth, Carol M.; Tenison, Caitlin; Arslan, Burcu","The current trends and opportunities for machine learning in learning analytics","International Encyclopedia of Education (Fourth Edition)","978-0-12-818629-9","","","https://www.sciencedirect.com/science/article/pii/B9780128186305100508","The goal of this article is to provide a brief review including the current trends and opportunities of the areas of research within the field of Learning Analytics (LA) and the Machine Learning (ML) to improve the educational experience of students. We begin by explaining the purpose of LA to help adapt computerized systems and inform teachers of student's knowledge, cognitive processes, and even affective states. Next, we provide a primer on ML models that are often included in LA. We then explain how LA with ML can adapt and provide recommendations based on students' needs as well as immediate feedback to students and score reports to teachers and other stakeholders. Finally, we address the current trends and opportunities within LA and how within this current time in history LA could be more useful than ever in helping all students achieve their educational goals.","2023-01-01","2023-01-03 15:44:22","2023-01-03 16:09:15","2023-01-03 15:44:22","404-416","","","","","","","","","","","Elsevier","Oxford","en","","","","","ScienceDirect","","DOI: 10.1016/B978-0-12-818630-5.10050-8","","","","","Digital learning environments; Educational data mining; Learning analytics; Machine learning; Personalization","Tierney, Robert J; Rizvi, Fazal; Ercikan, Kadriye","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
