"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UUEBVLD8","journalArticle","2022","Al-Zawqari, Ali; Peumans, Dries; Vandersteen, Gerd","A flexible feature selection approach for predicting students’ academic performance in online courses","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100103","https://www.sciencedirect.com/science/article/pii/S2666920X22000583","Educators' loss of ability to read students' comprehension level during the class through quick questions or nonverbal communication is one of the main challenges of online and blended learning. Many researchers recently tackled this problem by proposing different frameworks for predicting students' academic performance. However, previous work relies heavily on feature engineering. Feature engineering is the process of selecting, transforming, manipulating, and constructing new variables from raw data using domain knowledge. A disadvantage of feature engineering is that the features are tailored to a specific dataset making the constructed models inflexible when used in new datasets. A direct consequence is that features need to be rebuilt for each course. This paper proposes a more flexible framework to predict the students' academic performance. In this framework, the raw data is used directly to construct the prediction model without the feature engineering step. The feature selection is instead based on model interpretability. The framework is applied to the open university learning analytics dataset (OULAD) with two different type of classifiers: random forest and artificial neural networks. Obtained results show that the feature engineering step can be abandoned without affecting the models' prediction performance. The prediction results of the flexible feature selection framework either outperform or have a difference of less than 1% accuracy compared to other work in the literature that relies on a manual feature engineering step. Both random forest and artificial neural networks without feature engineering accomplish a high prediction accuracy for the case of students at risk of failing with 86% and 88% compared to all students with pass grades and students with distinction grades, respectively. Also, the prediction models have the highest accuracy rate of 93% in predicting drop-out students. Yet, the prediction models in the proposed framework and previous research work perform poorly in predicting high achieving students with maximum accuracy of 81%, a precision of 69%, and a recall of 57%.","2022-01-01","2023-01-03 15:33:39","2023-01-03 15:33:39","2023-01-03 15:33:39","100103","","","3","","Computers and Education: Artificial Intelligence","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\E46A96UX\Al-Zawqari et al. - 2022 - A flexible feature selection approach for predicti.pdf","","","Deep learning; Feature selection; Learning analytics; Random forest classifier; Virtual learning environment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SFAD6SE5","journalArticle","2022","Niyogisubizo, Jovial; Liao, Lyuchao; Nziyumva, Eric; Murwanashyaka, Evariste; Nshimyumukiza, Pierre Claver","Predicting student's dropout in university classes using two-layer ensemble machine learning approach: A novel stacked generalization","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100066","https://www.sciencedirect.com/science/article/pii/S2666920X22000212","Student dropout is a serious problem globally. It affects not only the individual who drops out but also the former school, family, and society in general. With the current development of science and technology, big data is emphasized as the most significant technology in data analysis. From the recorded educational data, efficient prediction of students' dropout is currently a hot topic of research. Previous studies have focused only on the students' dropout based on specific levels such as individual, middle school, and university level. However, ensemble learning approaches have not received much research attention so far to predict students' dropout in university classes based on rare datasets. In this paper, we propose a novel stacking ensemble based on a hybrid of Random Forest (RF), Extreme Gradient Boosting (XGBoost), Gradient Boosting (GB), and Feed-forward Neural Networks (FNN) to predict student's dropout in university classes. On the dataset collected from 2016 to 2020 at Constantine the Philosopher University in Nitra, the proposed method has demonstrated greater performance when compared with the base models using testing accuracy and the area under the curve (AUC) evaluation metrics under the same conditions. Based on the findings of this study, students at the risk of dropping out the school can be identified based on influential factors and different agents of education can refer to this information for early intervention in the uncontrolled behavior that can lead to the risk of dropping out and take proactive precautionary measures before the issue arise.","2022-01-01","2023-01-03 15:40:45","2023-01-03 15:40:45","2023-01-03 15:40:45","100066","","","3","","Computers and Education: Artificial Intelligence","Predicting student's dropout in university classes using two-layer ensemble machine learning approach","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\YR5NPMG2\Niyogisubizo et al. - 2022 - Predicting student's dropout in university classes.pdf","","","Learning analytics; Educational data mining; Agents of education; Artificial intelligence; Student dropout prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5DDI442Y","journalArticle","2022","Yang, Albert C. M.; Chen, Irene Y. L.; Flanagan, Brendan; Ogata, Hiroaki","How students’ self-assessment behavior affects their online learning performance","Computers and Education: Artificial Intelligence","","2666-920X","10.1016/j.caeai.2022.100058","https://www.sciencedirect.com/science/article/pii/S2666920X22000133","Previous studies have found that the frequency and the regularity of taking the self-assessment are positively correlated with learning performance. However, as artificial intelligence is widely used for self-assessment in various educational contexts, numerous behaviors have been identified, including nonstandard behaviors that can negatively impact learning. Therefore, more analysis regarding students' self-assessment behaviors in different contexts and their influence on learning is required. In this study, we examined students’ behaviors in online self-assessment task and how it affects their learning performance. A 6-week experiment was conducted in an accounting course. Students were instructed to complete online self-assessment in the form of formative quizzes after class. We performed clustering analysis, which revealed three behavioral patterns in online self-assessment, and we compared the learning performance of students across different patterns. The results indicated that students who frequently took the online assessments after class tended to achieve a higher examination score than those who did not. However, the learning performance of students who demonstrated nonstandard behaviors did not necessarily improve, even though they actively took the assessments. Our results suggest that student behavior is a critical factor in improving learning through self-assessment. These findings provide insights for researchers in the learning analytics field as well as for practitioners who wish to adopt online self-assessment for learning.","2022-01-01","2023-01-03 15:47:48","2023-01-03 15:47:48","2023-01-03 15:47:48","100058","","","3","","Computers and Education: Artificial Intelligence","","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\JU6RS8AT\Yang et al. - 2022 - How students’ self-assessment behavior affects the.pdf","","","Learning analytics; Online self-assessment; Online self-assessment behaviors; Student interaction analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZPUGZNE","journalArticle","2022","Feldman-Maggor, Yael; Blonder, Ron; Tuvi-Arad, Inbal","Let them choose: Optional assignments and online learning patterns as predictors of success in online general chemistry courses","The Internet and Higher Education","","1096-7516","10.1016/j.iheduc.2022.100867","https://www.sciencedirect.com/science/article/pii/S1096751622000239","This study examined learning processes in undergraduate online general chemistry courses. The study aimed to characterize learners according to their learning patterns and to identify indicators that predict students' success in an online environment. Specifically, we focused on the role of a central factor affecting success in online courses: self-regulated learning and learner engagement. To this end, we used a mixed methods approach that combines semi-structured interviews and statistical analysis. We applied two logistic regression models and a decision tree algorithm and found two parameters that can predict completion of the course: the submission status of an optional assignment and the students' cumulative video opening pattern (SCOP). Recommendations for institutions and lecturers regarding the benefits of implementing these models to identify self-regulated learning patterns in online courses and to design future effective interventions are discussed. Regarding students, we emphasize the importance of time management and how choices they make with respect to their learning process affect their potential for success.","2022-10-01","2023-01-03 16:07:00","2023-01-03 16:09:15","2023-01-03 16:07:00","100867","","","55","","The Internet and Higher Education","Let them choose","","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\QQIS6X3I\Feldman-Maggor et al. - 2022 - Let them choose Optional assignments and online l.pdf","","","Educational data mining; Adult learning; Chemistry education; General chemistry; Logistic regression; Online learning; Self-regulated learning; Undergraduate students; Video","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STX9IVQ8","journalArticle","2022","Guzmán-Castillo, Stefania; Körner, Franziska; Pantoja-García, Julia I.; Nieto-Ramos, Lainet; Gómez-Charris, Yulineth; Castro-Sarmiento, Alex; Romero-Conrado, Alfonso R.","Implementation of a Predictive Information System for University Dropout Prevention","Procedia Computer Science","","1877-0509","10.1016/j.procs.2021.12.287","https://www.sciencedirect.com/science/article/pii/S1877050921025266","The dropout of university students is one of the topics of a broad interest in higher education institutions and government education departments. Recent changes in education methods, socio-economic conditions, and the growing limitations of face to face interactions make it necessary to have tools that allow us to consider a broad set of factors related to the dropout phenomenon. The objective of this article is to show the implementation results of a predictive information system (IS) for the prevention of university dropout in a higher education institution. The system allows the calculation of the risk of dropout per student and uses an alert generation procedure to coordinate interventions. The platform allowed measuring the impact of the intervention strategies on the permanence of the students. Likewise, it made possible the reorganization of the intervention process towards the students, prioritizing according to the risk level.","2022-01-01","2023-01-03 16:07:57","2023-01-03 16:09:15","2023-01-03 16:07:57","566-571","","","198","","Procedia Computer Science","","12th International Conference on Emerging Ubiquitous Systems and Pervasive Networks / 11th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare","","","","","","en","","","","","ScienceDirect","","","","C:\Users\nasta\Zotero\storage\JY3KKH4B\Guzmán-Castillo et al. - 2022 - Implementation of a Predictive Information System .pdf","","","Dropout; education; prevention; university","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DLV38NHX","conferencePaper","2022","Kumar, Mukesh; Sharma, Chetan; Sharma, Shamneesh; Nidhi, Nidhi; Islam, Nazrul","Analysis of Feature Selection and Data Mining Techniques to Predict Student Academic Performance","2022 International Conference on Decision Aid Sciences and Applications (DASA)","","","10.1109/DASA54658.2022.9765236","","Educational Data Mining is a field of study that aims to find patterns and information in educational institutions through mining educational data. To become a better teacher, teachers need to anticipate their pupils' performance patterns. Knowledge gained from it can be used in various ways, such as a strategic plan for delivering high-quality education. This report suggests that students' final grades can be predicted using data mining techniques based on past research. On two educational datasets related to mathematics classes and Portuguese language lessons, three well-known data mining approaches, such as Decision Tree, JRip, Naive Bayes, Multilayer Perceptron, and Random Forest, were utilized in the experiments. As a result, using the employed data mining methods, student success might be predicted with reasonable accuracy.","2022-03","2023-01-03 16:22:35","2023-01-03 16:22:35","","1013-1017","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\nasta\Zotero\storage\BQHPREM5\Kumar et al. - 2022 - Analysis of Feature Selection and Data Mining Tech.pdf","","","Education; Feature extraction; Data mining; Classification algorithms; Classification Algorithms; Decision Tree; Forestry; JRip; Mathematics; Multilayer Perceptron; Multilayer perceptrons; Naïve Bayes; Random Forest","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 International Conference on Decision Aid Sciences and Applications (DASA)","","","","","","","","","","","","","","",""
"RW4IV7V2","journalArticle","2022","Begum, S.; Padmannavar, S.S.","Student performance prediction with BPSO feature selection and CNN classifier","International Journal of Advanced and Applied Sciences","","2313-626X","10.21833/ijaas.2022.11.010","","Educational Data Mining (EDM) is gaining great importance as a new interdisciplinary research field related to some other areas. It is directly related to data mining (DM), the latter being a fundamental part of knowledge discovery in databases (KDD). This data is growing more and more and contains hidden knowledge that could be very useful for users (both teachers and students). It is convenient to identify such knowledge in the form of models, patterns, or any other representation scheme that allows better exploitation of the system. Data mining is revealed as the tool to achieve such discovery, giving rise to EDM. In this complex context, different techniques and learning algorithms are usually used to obtain the best results. Recently educational systems are adopting artificial intelligent systems, especially in the educational context, specific areas for extracting relevant information, such as EDM, which integrates numerous techniques that support the capture, processing, and analysis of these sets of records. The main technique associated with EDM is Machine Learning, which has been used for decades in data processing in different contexts, but with the advent of Big Data, there was an intensification in the application of this technique to extract relevant information from a huge amount of data. This paper proposes the student performance prediction using CNN (Convolution Neural Network) and BPSO (Binary Particle Swarm Optimization) based feature selection method. In this study, classifiers are made for 2-class and 5-class predictions. The proposed system claims an outperforming accuracy of 96.6% with various previous research works as well as found that the majority of attributes related to school activities as compared to data on demographic and socioeconomic characteristics. © 2022 The Authors.","2022","2023-01-03 16:48:35","2023-01-03 16:48:36","","84-92","","11","9","","","","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\nasta\Zotero\storage\EENS2LW9\Begum and Padmannavar - 2022 - Student performance prediction with BPSO feature s.pdf","","","Deep learning; Educational data mining; Data mining; Binary particle swarm optimization; Convolution neural network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28Y45R83","journalArticle","2022","Verma, S.; Yadav, R.K.; Kholiya, K.","A Scalable Machine Learning-based Ensemble Approach to Enhance the Prediction Accuracy for Identifying Students at-Risk","International Journal of Advanced Computer Science and Applications","","2158-107X","10.14569/IJACSA.2022.0130822","","Among the educational data mining problems, the early prediction of the students' academic performance is the most important task, so that timely and requisite support may be provided to the needy students. Machine learning techniques may be used as an important tool for predicting low-performers in educational institutions. In the present paper, five single-supervised machine learning techniques have been used, including Decision Tree, Naïve Bayes, k-Nearest-Neighbor, Support Vector Machine, and Logistic Regression. To analyze the effect of an imbalanced dataset, the performance of these algorithms has been checked with and without various resampling methods such as Synthetic Minority Oversampling Technique (SMOTE), Borderline SMOTE, SVM-SMOTE, and Adaptive Synthetic (ADASYN). The Random hold-out method and GridSearchCV were used as model validation techniques and hyper-parameter tuning respectively. The results of the present study indicated that Logistic Regression is the best performing classifier with every balanced dataset generated using all of the four resampling techniques and also achieved the highest accuracy of 94.54% with SMOTE. Furthermore, to improve the prediction results and to make the model scalable, the most suitable classifier was integrated with the help of bagging, and a well-accepted accuracy of 95.45% was achieved. © 2022, International Journal of Advanced Computer Science and Applications. All rights reserved.","2022","2023-01-03 16:51:04","2023-01-03 16:51:04","","185-192","","8","13","","","","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\nasta\Zotero\storage\N5NN48EK\Verma et al. - 2022 - A Scalable Machine Learning-based Ensemble Approac.pdf","","","Educational data mining; Machine learning; Feature selection technique; Imbalanced data; Resampling methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDDFMMKD","journalArticle","2022","Memon, M.Q.; Lu, Y.; Yu, S.; Memon, A.; Memon, A.R.","The Critical Feature Selection Approach using Ensemble Meta-Based Models to Predict Academic Performances","International Arab Journal of Information Technology","","1683-3198","10.34028/iajit/19/3A/12","","In this work, machine learning techniques are deemed to predict student academic performances in their historical performance of Final Grades (FGs). Acceptance of Technology enabled the teaching-learning processes, as it has become a vital element to perceive the goal of academic quality. Research is improving and growing fast in Educational Data Mining (EDM) due to many students' information. Researchers urge to invent valuable patterns about students' learning behavior using their data that needs to be adequately processed to transform it into helpful information. This paper proposes a prediction model of students' academic performances with new data features, including student's behavioral features, Psychometric, family support, learning logs via e-learning management systems, and demographic information. In this paper, data collection and pre-processing are firstly conducted following the grouping of students with similar patterns of academic scores. Later, we selected the applicable supervised learning algorithms, and then the experimental work was implemented. The performance of the student's predictive model assessment is comprised of three steps: First, the critical Feature selection approach is evaluated. Second, a set of renowned classifiers are trained and tested. Third, ensemble meta-based models are improvised to boost the accuracy of the classifier. Subsequently, the present study is associated with the solutions that help the students evaluate and improve their academic performance with a glimpse of their historical grades. Ultimately, the results were produced and evaluated. The results showed the effectiveness of our proposed framework in predicting students' academic performance. © 2022, Zarka Private University. All rights reserved.","2022","2023-01-03 16:51:48","2023-01-03 16:51:48","","523-529","","Special Issue 3A","19","","","","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\nasta\Zotero\storage\5T3MSFWG\Memon et al. - 2022 - The Critical Feature Selection Approach using Ense.pdf","","","Educational data mining; machine learning; feature selection; ensemble meta-based models; students' prediction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGWI2X9C","journalArticle","2022","Urbina-Nájera, A.B.; Méndez-Ortega, L.A.","Predictive Model for Taking Decision to Prevent University Dropout","International Journal of Interactive Multimedia and Artificial Intelligence","","1989-1660","10.9781/ijimai.2022.01.006","","Dropout is an educational phenomenon studied for decades due to the diversity of its causes, whose effects fall on society's development. This document presents an experimental study to obtain a predictive model that allows anticipating a university dropout. The study uses 51,497 instances with 26 attributes obtained from social sciences, administrative sciences, and engineering collected from 2010 to 2019. Artificial neural networks and decision trees were implemented as classification algorithms, and also, algorithms of attribute selection and resampling methods were used to balance the main class. The results show that the best performing model was that of Random Forest with a Matthew correlation coefficient of 87.43% against 53.39% obtained by artificial neural networks and 94.34% accuracy by Random Forest. The model has allowed predicting an approximate number of possible dropouts per period, contributing to the involved instances in preventing or reducing dropout in higher education. © 2022, Universidad Internacional de la Rioja. All rights reserved.","2022","2023-01-03 16:52:06","2023-01-03 16:52:06","","205-213","","4","7","","","","","","","","","","English","","","Scopus","","Scopus","","","","C:\Users\nasta\Zotero\storage\TIEN9VUB\Urbina-Nájera and Méndez-Ortega - 2022 - Predictive Model for Taking Decision to Prevent Un.pdf","","","Educational Data Mining; Artificial Neural Network; Decision Trees; Dropouts; Higher Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
